county_id,cbg,date,count
17183,171830107013,2020-01-17,119
17183,171830107013,2020-01-18,120
17183,171830107013,2020-01-19,98
17183,171830107022,2020-01-13,212
17183,171830107022,2020-01-14,195
17183,171830107022,2020-01-15,213
17183,171830107022,2020-01-16,244
17183,171830107022,2020-01-17,188
17183,171830107022,2020-01-18,79
17183,171830107022,2020-01-19,111
17183,171830112002,2020-01-13,55
17183,171830112002,2020-01-14,49
17183,171830112002,2020-01-15,61
17183,171830112002,2020-01-16,59
17183,171830112002,2020-01-17,72
17183,171830112002,2020-01-18,50
17183,171830112002,2020-01-19,60
17183,171830111003,2020-01-13,14
17183,171830111003,2020-01-14,19
17183,171830111003,2020-01-15,21
17183,171830111003,2020-01-16,33
17183,171830111003,2020-01-17,40
17183,171830111003,2020-01-18,24
17183,171830111003,2020-01-19,15
17183,480291817183,2020-01-13,210
17183,480291817183,2020-01-14,205
17183,480291817183,2020-01-15,209
17183,480291817183,2020-01-16,222
17183,480291817183,2020-01-17,256
17183,480291817183,2020-01-18,328
17183,480291817183,2020-01-19,168
17183,171830108003,2020-01-13,277
17183,171830108003,2020-01-14,264
17183,171830108003,2020-01-15,290
17183,171830108003,2020-01-16,242
17183,171830108003,2020-01-17,259
17183,171830108003,2020-01-18,279
17183,171830108003,2020-01-19,220
17183,171830101001,2020-01-13,30
17183,171830101001,2020-01-14,23
17183,171830101001,2020-01-15,26
17183,171830101001,2020-01-16,16
17183,171830101001,2020-01-17,31
17183,171830101001,2020-01-18,31
17183,171830101001,2020-01-19,26
17183,171830006003,2020-01-13,199
17183,171830006003,2020-01-14,147
17183,171830006003,2020-01-15,187
17183,171830006003,2020-01-16,179
17183,171830006003,2020-01-17,158
17183,171830006003,2020-01-18,117
17183,171830006003,2020-01-19,89
17183,171830009001,2020-01-13,450
17183,171830009001,2020-01-14,417
17183,171830009001,2020-01-15,458
17183,171830009001,2020-01-16,461
17183,171830009001,2020-01-17,563
17183,171830009001,2020-01-18,522
17183,171830009001,2020-01-19,380
17183,171830006001,2020-01-13,260
17183,171830006001,2020-01-14,308
17183,171830006001,2020-01-15,329
17183,171830006001,2020-01-16,320
17183,171830006001,2020-01-17,267
17183,171830006001,2020-01-18,302
17183,171830006001,2020-01-19,109
17183,171830107021,2020-01-13,36
17183,171830107021,2020-01-14,36
17183,171830107021,2020-01-15,42
17183,171830107021,2020-01-16,35
17183,171830107021,2020-01-17,56
17183,171830107021,2020-01-18,59
17183,171830107021,2020-01-19,33
17183,171830005002,2020-01-13,125
17183,171830005002,2020-01-14,141
17183,171830005002,2020-01-15,152
17183,171830005002,2020-01-16,149
17183,171830005002,2020-01-17,141
17183,171830005002,2020-01-18,62
17183,171830005002,2020-01-19,41
17183,171830102006,2020-01-13,294
17183,171830102006,2020-01-14,300
17183,171830102006,2020-01-15,323
17183,171830102006,2020-01-16,357
17183,171830102006,2020-01-17,460
17183,171830102006,2020-01-18,359
17183,171830102006,2020-01-19,342
17183,171830110001,2020-01-13,29
17183,171830110001,2020-01-14,22
17183,171830110001,2020-01-15,27
